precision	recall	f1-score	support	collection
AN	79.0	83.0	81.0	36	Hall/VdC Norms: Male
AP	84.0	97.0	90.0	86	Hall/VdC Norms: Male
SD	86.0	79.0	83.0	24	Hall/VdC Norms: Male
CO	94.0	83.0	88.0	58	Hall/VdC Norms: Male
HA	84.0	93.0	88.0	45	Hall/VdC Norms: Male
micro avg	85.0	89.0	87.0	249	Hall/VdC Norms: Male
macro avg	85.0	87.0	86.0	249	Hall/VdC Norms: Male
weighted avg	86.0	89.0	87.0	249	Hall/VdC Norms: Male
samples avg	87.0	89.0	87.0	249	Hall/VdC Norms: Male
AN	83.0	88.0	85.0	43	Barb Sanders: baseline
AP	90.0	84.0	87.0	83	Barb Sanders: baseline
SD	63.0	100.0	78.0	26	Barb Sanders: baseline
CO	91.0	97.0	94.0	31	Barb Sanders: baseline
HA	67.0	100.0	80.0	28	Barb Sanders: baseline
micro avg	80.0	91.0	85.0	211	Barb Sanders: baseline
macro avg	79.0	94.0	85.0	211	Barb Sanders: baseline
weighted avg	82.0	91.0	86.0	211	Barb Sanders: baseline
samples avg	85.0	92.0	87.0	211	Barb Sanders: baseline
AN	95.0	84.0	89.0	49	Hall/VdC Norms: Female
AP	79.0	98.0	88.0	129	Hall/VdC Norms: Female
SD	92.0	68.0	78.0	50	Hall/VdC Norms: Female
CO	94.0	88.0	91.0	66	Hall/VdC Norms: Female
HA	84.0	93.0	88.0	68	Hall/VdC Norms: Female
micro avg	86.0	89.0	87.0	362	Hall/VdC Norms: Female
macro avg	89.0	86.0	87.0	362	Hall/VdC Norms: Female
weighted avg	87.0	89.0	87.0	362	Hall/VdC Norms: Female
samples avg	88.0	91.0	88.0	362	Hall/VdC Norms: Female
AN	90.0	93.0	91.0	28	Ed: dreams of his late wife
AP	84.0	76.0	80.0	42	Ed: dreams of his late wife
SD	85.0	79.0	82.0	29	Ed: dreams of his late wife
CO	100.0	83.0	91.0	24	Ed: dreams of his late wife
HA	93.0	87.0	90.0	46	Ed: dreams of his late wife
micro avg	90.0	83.0	87.0	169	Ed: dreams of his late wife
macro avg	90.0	84.0	87.0	169	Ed: dreams of his late wife
weighted avg	90.0	83.0	86.0	169	Ed: dreams of his late wife
samples avg	92.0	86.0	87.0	169	Ed: dreams of his late wife
AN	91.0	95.0	93.0	22	Emma: 48 years of dreams
AP	79.0	90.0	84.0	21	Emma: 48 years of dreams
SD	67.0	75.0	71.0	8	Emma: 48 years of dreams
CO	70.0	100.0	82.0	7	Emma: 48 years of dreams
HA	92.0	94.0	93.0	35	Emma: 48 years of dreams
micro avg	84.0	92.0	88.0	93	Emma: 48 years of dreams
macro avg	80.0	91.0	85.0	93	Emma: 48 years of dreams
weighted avg	85.0	92.0	88.0	93	Emma: 48 years of dreams
samples avg	88.0	93.0	89.0	93	Emma: 48 years of dreams
AN	80.0	80.0	80.0	40	Bea 1: a high school student
AP	86.0	85.0	86.0	60	Bea 1: a high school student
SD	78.0	78.0	78.0	23	Bea 1: a high school student
CO	58.0	88.0	70.0	8	Bea 1: a high school student
HA	75.0	35.0	48.0	17	Bea 1: a high school student
micro avg	80.0	77.0	79.0	148	Bea 1: a high school student
macro avg	76.0	73.0	72.0	148	Bea 1: a high school student
weighted avg	81.0	77.0	78.0	148	Bea 1: a high school student
samples avg	81.0	80.0	79.0	148	Bea 1: a high school student
