gender,age,type,collection,id,time,date,number,report,# words,Emotions,# Emotions,TSNE_x,TSNE_y,PCA_x,PCA_y,Kmean_Cluster_6,Kmean Cluster_2,2W_SA_label,2W_SA_score,6W_SA_dict
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1960-08-04,0003,"For the second night in a row, I dreamed of Jon. He was trying to make an impression on me. He embarrassed me! Then I dreamed that Reta and I saw Blake in a restaurant and we went in and had a coke. Some kids were dancing and I was wishing Blake would ask me. He did. We bopped all over. When it was done, we  sat down. He said, ""Your hair's messed up."" I said, ""Oh, dear, not again"" (He had his arm around me). He bent to me and said, ""Yes-let's mess up a mustache"" and then he kissed me. The kiss was so real! Then I dreamed that Nate came home. I met him in S City at the bus depot. He was 6 feet tall and all muscles. He grabbed my hands and then threw his arms around me and kissed me,(All these dreams were when I was fast asleep). [BL]",194,AP,1,-20.064026,46.5994,-1.9592438,4.3860865,3,1,POSITIVE,0.8356470465660095,"[[{'label': 'sadness', 'score': 0.3984498977661133}, {'label': 'joy', 'score': 0.0270726028829813}, {'label': 'love', 'score': 0.002424126723781228}, {'label': 'anger', 'score': 0.5523823499679565}, {'label': 'fear', 'score': 0.018501607701182365}, {'label': 'surprise', 'score': 0.0011693693231791258}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1974-03-16,0016,"I had a horrible dream. Howard was in a coffin. I yelled and screamed at his mom that it was all her fault. I kicked myself that I hadn't waited to become a widow rather than a divorcee in order to get the insurance. I woke up feeling miserable, the dream was so icky. [BL]",64,Missing,0,-19.34523,31.750385,4.0403547,1.5101961,5,0,NEGATIVE,0.9995805621147156,"[[{'label': 'sadness', 'score': 0.9990239143371582}, {'label': 'joy', 'score': 0.00020787992980331182}, {'label': 'love', 'score': 0.00016586441779509187}, {'label': 'anger', 'score': 0.0003148949472233653}, {'label': 'fear', 'score': 0.0001471096620662138}, {'label': 'surprise', 'score': 0.00014032334729563445}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1977-??-??,0047,"Again, I am in a richly decorated room, a large bed. I am eating very sweet rolls, butterscotch on sweet rolls. I am suspicious of it. A man has been ""sent"" by another man to make love to me. I am vaguely aware of all this and I'm suspicious. A thought occurs that, ""Now it is OK. The sweets are fresh and not poisoned or drugged."" The man leaves and the ""original"" man comes to me. A feeling of being pursued, not frightening. [BL]",107,Missing,0,-20.594366,35.615974,1.8132037,3.0847132,3,0,POSITIVE,0.9947974681854248,"[[{'label': 'sadness', 'score': 0.0002857655636034906}, {'label': 'joy', 'score': 0.0006283671827986836}, {'label': 'love', 'score': 0.0002011897013289854}, {'label': 'anger', 'score': 0.001423044130206108}, {'label': 'fear', 'score': 0.9965219497680664}, {'label': 'surprise', 'score': 0.0009396187379024923}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1977-??-??,0062,"As I was ""waking up"" from a nap, Ginny and Rosemary were perched on my bed. Ginny was doing Math. I watched her count columns, carry and write numbers as she figured and I said, ""You do math like me."" She wasn't doing well. Then I got worried. I said, ""Oh Lord, I'm sure that I'm signed up for an intro to German class, but I forgot to go to any classes and it's late in the term. I'll flunk."" I started looking through my filing cabinet for the register form. I saw some B'day cards scrunched in there. Rosemary said, ""Take those out."" I had to see a boy standing on his head trying to say something but no one would listen. It was a B'day card to the devil. He had a grotesque red face, with huge reddish teeth. He was standing very large in a formal striped suit with a tie and carnation and a huge overcoat on. His coarse, snaky tail was draped around him. No fear. [BL]",212,AP,1,-15.257921,54.23333,-1.9088603,5.3152924,3,1,NEGATIVE,0.9967893362045288,"[[{'label': 'sadness', 'score': 0.027002427726984024}, {'label': 'joy', 'score': 0.09255632758140564}, {'label': 'love', 'score': 0.0018470395589247346}, {'label': 'anger', 'score': 0.29507121443748474}, {'label': 'fear', 'score': 0.5807098746299744}, {'label': 'surprise', 'score': 0.002813131082803011}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1978-02-04,0068,"I had the most incredible dream. I was back in the hospital only it was a sort of school. I'd just been informed that I was going to be executed at 9:00 the next morning because I'd not gone to a meeting. I was paralyzed with fear and the enormity of the injustice. My 2 roommates, also condemned, went home for the night to be with friends and family. I didn't have anyone special to go to, so I stayed. Someone (perhaps my alter ego), came to me and said, ""Come on, let's fight this. We'll go talk to them. They won't do it."" We flew, over a muddy, cold, choppy lake. A lady in a helicopter was who we were to speak to. My friend advised me to speak confusingly, not good to be clear and direct. It didn't work. I was back in my room. The chaplain came in. He brought me a ""form 52, a form of protest"" to fill out. If I filled it out, they'd have to stop the execution and deliberate. He said, ""Sometimes it takes them 'til summer!"" [BL]",235,AP,1,-14.065504,45.98364,-2.0563698,3.2184317,3,1,NEGATIVE,0.9990949630737305,"[[{'label': 'sadness', 'score': 0.2152269333600998}, {'label': 'joy', 'score': 0.006972676143050194}, {'label': 'love', 'score': 0.0009386402671225369}, {'label': 'anger', 'score': 0.7684418559074402}, {'label': 'fear', 'score': 0.00764735322445631}, {'label': 'surprise', 'score': 0.0007726241019554436}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1978-04-11,0070,"I had another strange dream, about kittens. The 3rd one. This one, I gave birth to 1 dozen kittens for their mother. I called her over. She moved them to a drawer nest, one bright orange one, one yellow one. I said they would be mine. The rest would be given away. They were cute, fuzzy, and playful. There was a puppy in this dream too. Strange. What does this symbolize to me? [BL]",93,Missing,0,-21.787203,40.310944,1.7270105,2.8046112,3,0,NEGATIVE,0.5091899633407593,"[[{'label': 'sadness', 'score': 0.003592616645619273}, {'label': 'joy', 'score': 0.12620043754577637}, {'label': 'love', 'score': 0.0023019250947982073}, {'label': 'anger', 'score': 0.003345571691170335}, {'label': 'fear', 'score': 0.10022936761379242}, {'label': 'surprise', 'score': 0.7643300294876099}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1979-07-06,0083,"Back at a place like uni house. The kids and I are going to see the movie ""Tell Me that you Love me Junie Moon."" We get to the concert hall. I see some friends (blonde woman), and the kids go to sit by them. I look in a side room. A circle of people sitting in chair (regular ones) forming. I chat for a moment and then go to join my kids. I see an empty space behind friends. I must ""tightrope"" walk a bench (blonde wood). As I almost get there, my ""friends"" get up and leave like strangers (I had overslept and was late to movie). Now I'm at a house. It's late at night and dark. Fletcher walks in. I say, ""Hi."" We talk. I say, ""So, on your way back to Hawaii?"" (He wore a Hawaiian shirt). He is surprised that I know so much about him. Generally he's cool and distant but when I read him right, he really looks at me. He starts to make love to me. He doesn't really care about me or how I feel. He has an orgasm. Then I feel an orgasm coming. He sucks my breasts. They are flabby and old. I am at first embarrassed. Then I don't care. I get in a dominant position and go for an orgasm. I kiss his ear. He is non-responsive. He's like Raul, but skinny like Elliot. [BL]",305,AP,1,-21.22461,56.64893,-3.83422,5.2376494,3,1,NEGATIVE,0.8657573461532593,"[[{'label': 'sadness', 'score': 0.027105433866381645}, {'label': 'joy', 'score': 0.8369725942611694}, {'label': 'love', 'score': 0.002993607195094228}, {'label': 'anger', 'score': 0.05980537831783295}, {'label': 'fear', 'score': 0.04331551864743233}, {'label': 'surprise', 'score': 0.02980743534862995}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1980-02-19,0090,"A wedding. The guests were dressed up like for Halloween, Witches, etc. The bride came and stood at the alter. A male in drag, crying (fake), and exaggerating a coquettish female, came down the aisle (raked steps like the theater at the community college). He was the ""groom."" Then after he got to the aisle, he took off his mask and was an usher. The real groom (male), came down the steps. The female minister in costume was replaced by a male, ""real"" minister. [BL]",113,Missing,0,-17.882519,32.55586,2.5783799,2.3274229,5,0,NEGATIVE,0.998284637928009,"[[{'label': 'sadness', 'score': 0.010591993108391762}, {'label': 'joy', 'score': 0.0034601669758558273}, {'label': 'love', 'score': 0.0004701697616837919}, {'label': 'anger', 'score': 0.9498732686042786}, {'label': 'fear', 'score': 0.034844666719436646}, {'label': 'surprise', 'score': 0.0007598336669616401}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1980-03-04,0101,"Paul McCartney and my ""friends"" were on one side of a room, and the Arabs were on the other. A chain link fence was between us but there were gaps in it. Paul started yelling insults and taunts at the Arabs. I said, ""Stop it."" I stood up and walked to him. The Arabs started yelling back and coming into ""our"" side of the room to fight. I was in the middle; I made them go back. Paul and the others started up again. I again tried to stop them. One Arab thanked me. Then, they all started again and I gave up. It was too big. I gathered up some things and left the room. Now I was in the hall. I said, ""I want to get away, where there's no people."" Paul said, ""You want to go camping?"" I'm not enthused. I want a fireplace, etc. My father said, ""You can go somewhere remote, if you can handle traveling over the Texas desert."" I ask if we can go where there are no hunters. I don't want to get shot. [BL]",231,Missing,0,-14.832682,38.652004,0.2191763,3.8285556,3,0,NEGATIVE,0.996921718120575,"[[{'label': 'sadness', 'score': 0.0008234048145823181}, {'label': 'joy', 'score': 0.002247642260044813}, {'label': 'love', 'score': 0.0004141346435062587}, {'label': 'anger', 'score': 0.9947159886360168}, {'label': 'fear', 'score': 0.0014981850981712341}, {'label': 'surprise', 'score': 0.000300697167403996}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1980-03-19,0103,"A dinosaur. I am on its back. A large beautiful snake, green and shiny, with gold threads, is its driver. I must hold on to her head just behind the jaw to keep from getting bit and to control where to go. She tries to bite me. I have to be very strong to keep her under control. I am struggling hard and I almost can't do it. She turns to look at me and says, ""'Little girls' shouldn't (or couldn't) do this."" [BL]",106,Missing,0,-21.342016,39.7525,1.9756138,3.2714279,3,0,NEGATIVE,0.9054517149925232,"[[{'label': 'sadness', 'score': 0.062434159219264984}, {'label': 'joy', 'score': 0.33923718333244324}, {'label': 'love', 'score': 0.0033525314647704363}, {'label': 'anger', 'score': 0.1283528059720993}, {'label': 'fear', 'score': 0.4599745273590088}, {'label': 'surprise', 'score': 0.006648742128163576}]]"
