precision,recall,f1-score,support,Fold
AN,88.0,81.0,85.0,27,0
AP,88.0,89.0,89.0,75,0
SD,89.0,81.0,85.0,31,0
CO,88.0,68.0,76.0,31,0
HA,89.0,89.0,89.0,37,0
micro avg,88.0,84.0,86.0,201,0
macro avg,88.0,82.0,85.0,201,0
weighted avg,88.0,84.0,86.0,201,0
samples avg,90.0,88.0,88.0,201,0
AN,76.0,87.0,81.0,30,1
AP,84.0,86.0,85.0,69,1
SD,95.0,79.0,86.0,24,1
CO,91.0,76.0,83.0,42,1
HA,91.0,79.0,85.0,38,1
micro avg,86.0,82.0,84.0,203,1
macro avg,88.0,81.0,84.0,203,1
weighted avg,87.0,82.0,84.0,203,1
samples avg,86.0,84.0,84.0,203,1
AN,76.0,91.0,83.0,35,2
AP,85.0,76.0,80.0,80,2
SD,69.0,78.0,73.0,23,2
CO,93.0,76.0,83.0,33,2
HA,91.0,56.99999999999999,70.0,35,2
micro avg,83.0,76.0,79.0,206,2
macro avg,83.0,76.0,78.0,206,2
weighted avg,84.0,76.0,79.0,206,2
samples avg,84.0,81.0,80.0,206,2
AN,96.0,80.0,87.0,30,3
AP,91.0,91.0,91.0,79,3
SD,71.0,83.0,77.0,24,3
CO,74.0,74.0,74.0,27,3
HA,89.0,85.0,87.0,39,3
micro avg,86.0,85.0,86.0,199,3
macro avg,84.0,83.0,83.0,199,3
weighted avg,87.0,85.0,86.0,199,3
samples avg,88.0,88.0,87.0,199,3
AN,86.0,86.0,86.0,29,4
AP,89.0,92.0,90.0,76,4
SD,84.0,67.0,74.0,24,4
CO,100.0,81.0,89.0,31,4
HA,94.0,91.0,92.0,32,4
micro avg,90.0,86.0,88.0,192,4
macro avg,91.0,83.0,86.0,192,4
weighted avg,90.0,86.0,88.0,192,4
samples avg,91.0,90.0,89.0,192,4
