precision,recall,f1-score,support,Fold
AN,90.0,88.0,89.0,42,0
AP,89.0,94.0,91.0,85,0
SD,90.0,84.0,87.0,31,0
CO,91.0,89.0,90.0,45,0
HA,80.0,91.0,85.0,54,0
micro avg,88.0,90.0,89.0,257,0
macro avg,88.0,89.0,88.0,257,0
weighted avg,88.0,90.0,89.0,257,0
samples avg,90.0,92.0,90.0,257,0
AN,81.0,95.0,88.0,41,1
AP,93.0,89.0,91.0,91,1
SD,85.0,59.0,69.0,29,1
CO,94.0,89.0,91.0,36,1
HA,90.0,86.0,88.0,50,1
micro avg,89.0,86.0,88.0,247,1
macro avg,89.0,84.0,85.0,247,1
weighted avg,90.0,86.0,87.0,247,1
samples avg,89.0,88.0,88.0,247,1
AN,77.0,83.0,80.0,41,2
AP,78.0,92.0,84.0,83,2
SD,80.0,89.0,84.0,36,2
CO,90.0,86.0,88.0,44,2
HA,88.0,85.0,86.0,41,2
micro avg,82.0,88.0,85.0,245,2
macro avg,83.0,87.0,85.0,245,2
weighted avg,82.0,88.0,85.0,245,2
samples avg,86.0,90.0,86.0,245,2
AN,95.0,90.0,92.0,39,3
AP,95.0,89.0,91.0,97,3
SD,84.0,79.0,81.0,33,3
CO,91.0,86.0,89.0,36,3
HA,88.0,90.0,89.0,48,3
micro avg,91.0,87.0,89.0,253,3
macro avg,90.0,87.0,88.0,253,3
weighted avg,91.0,87.0,89.0,253,3
samples avg,91.0,90.0,89.0,253,3
AN,82.0,88.0,85.0,41,4
AP,87.0,94.0,90.0,96,4
SD,82.0,72.0,77.0,25,4
CO,92.0,77.0,84.0,44,4
HA,84.0,86.0,85.0,42,4
micro avg,86.0,86.0,86.0,248,4
macro avg,85.0,83.0,84.0,248,4
weighted avg,86.0,86.0,86.0,248,4
samples avg,88.0,88.0,86.0,248,4
